name,link
Akimoto,https://fruitsbasket.fandom.com/wiki/Akimoto
Akira Sohma,https://fruitsbasket.fandom.com/wiki/Akira_Sohma
Akito Sohma,https://fruitsbasket.fandom.com/wiki/Akito_Sohma
Arisa Uotani,https://fruitsbasket.fandom.com/wiki/Arisa_Uotani
Arisa's Father,https://fruitsbasket.fandom.com/wiki/Arisa%27s_Father
Ayame and Yuki's Mother,https://fruitsbasket.fandom.com/wiki/Ayame_and_Yuki%27s_Mother
Ayame Sohma,https://fruitsbasket.fandom.com/wiki/Ayame_Sohma
Cat of The Chinese Zodiac,https://fruitsbasket.fandom.com/wiki/Cat_of_The_Chinese_Zodiac
Chie,https://fruitsbasket.fandom.com/wiki/Chie
Delinquent Trio,https://fruitsbasket.fandom.com/wiki/Delinquent_Trio
Category:Female,https://fruitsbasket.fandom.com/wiki/Category:Female
God of The Chinese Zodiac,https://fruitsbasket.fandom.com/wiki/God_of_The_Chinese_Zodiac
Hatori Sohma,https://fruitsbasket.fandom.com/wiki/Hatori_Sohma
Hatsuharu Sohma,https://fruitsbasket.fandom.com/wiki/Hatsuharu_Sohma
Hinata Sohma,https://fruitsbasket.fandom.com/wiki/Hinata_Sohma
Hiro Sohma,https://fruitsbasket.fandom.com/wiki/Hiro_Sohma
Hiroshi and Yusuke,https://fruitsbasket.fandom.com/wiki/Hiroshi_and_Yusuke
Isuzu Sohma,https://fruitsbasket.fandom.com/wiki/Isuzu_Sohma
Isuzu's Father,https://fruitsbasket.fandom.com/wiki/Isuzu%27s_Father
Isuzu's Mother,https://fruitsbasket.fandom.com/wiki/Isuzu%27s_Mother
Kagura Sohma,https://fruitsbasket.fandom.com/wiki/Kagura_Sohma
Kagura's Mother,https://fruitsbasket.fandom.com/wiki/Kagura%27s_Mother
Kakeru Manabe,https://fruitsbasket.fandom.com/wiki/Kakeru_Manabe
Kana Sohma,https://fruitsbasket.fandom.com/wiki/Kana_Sohma
Katsuya Honda,https://fruitsbasket.fandom.com/wiki/Katsuya_Honda
Kazuma Sohma,https://fruitsbasket.fandom.com/wiki/Kazuma_Sohma
Kazuma's Grandfather,https://fruitsbasket.fandom.com/wiki/Kazuma%27s_Grandfather
Kimi Toudou,https://fruitsbasket.fandom.com/wiki/Kimi_Toudou
Kisa Sohma,https://fruitsbasket.fandom.com/wiki/Kisa_Sohma
Kisa's Mother,https://fruitsbasket.fandom.com/wiki/Kisa%27s_Mother
Komaki Nakao,https://fruitsbasket.fandom.com/wiki/Komaki_Nakao
Kunimitsu Tomoda,https://fruitsbasket.fandom.com/wiki/Kunimitsu_Tomoda
Kureno Sohma,https://fruitsbasket.fandom.com/wiki/Kureno_Sohma
Kyo Sohma,https://fruitsbasket.fandom.com/wiki/Kyo_Sohma
Kyo's Father,https://fruitsbasket.fandom.com/wiki/Kyo%27s_Father
Kyo's Mother,https://fruitsbasket.fandom.com/wiki/Kyo%27s_Mother
Kyoko Honda,https://fruitsbasket.fandom.com/wiki/Kyoko_Honda
Kyoko's Father,https://fruitsbasket.fandom.com/wiki/Kyoko%27s_Father
Kyoko's Mother,https://fruitsbasket.fandom.com/wiki/Kyoko%27s_Mother
Machi Kuragi,https://fruitsbasket.fandom.com/wiki/Machi_Kuragi
Machi's Mother,https://fruitsbasket.fandom.com/wiki/Machi%27s_Mother
Mai Gotou,https://fruitsbasket.fandom.com/wiki/Mai_Gotou
Mai Iwata,https://fruitsbasket.fandom.com/wiki/Mai_Iwata
Category:Main Characters,https://fruitsbasket.fandom.com/wiki/Category:Main_Characters
Makoto Takei,https://fruitsbasket.fandom.com/wiki/Makoto_Takei
Category:Male,https://fruitsbasket.fandom.com/wiki/Category:Male
Mayuko Shiraki,https://fruitsbasket.fandom.com/wiki/Mayuko_Shiraki
Mayuko's Mother,https://fruitsbasket.fandom.com/wiki/Mayuko%27s_Mother
Megumi Hanajima,https://fruitsbasket.fandom.com/wiki/Megumi_Hanajima
Minami Kinoshita,https://fruitsbasket.fandom.com/wiki/Minami_Kinoshita
Mine Kuramae,https://fruitsbasket.fandom.com/wiki/Mine_Kuramae
Minor Characters,https://fruitsbasket.fandom.com/wiki/Minor_Characters
Mio Yamagishi,https://fruitsbasket.fandom.com/wiki/Mio_Yamagishi
Mitsuru,https://fruitsbasket.fandom.com/wiki/Mitsuru
Momiji Sohma,https://fruitsbasket.fandom.com/wiki/Momiji_Sohma
Momiji's Father,https://fruitsbasket.fandom.com/wiki/Momiji%27s_Father
Momiji's Mother,https://fruitsbasket.fandom.com/wiki/Momiji%27s_Mother
Momo Sohma,https://fruitsbasket.fandom.com/wiki/Momo_Sohma
Motoko Minagawa,https://fruitsbasket.fandom.com/wiki/Motoko_Minagawa
Naohito Sakuragi,https://fruitsbasket.fandom.com/wiki/Naohito_Sakuragi
Okami Sohma,https://fruitsbasket.fandom.com/wiki/Okami_Sohma
Category:Prince Yuki Fan Club members,https://fruitsbasket.fandom.com/wiki/Category:Prince_Yuki_Fan_Club_members
Ren Sohma,https://fruitsbasket.fandom.com/wiki/Ren_Sohma
Rika Aida,https://fruitsbasket.fandom.com/wiki/Rika_Aida
Ritsu Sohma,https://fruitsbasket.fandom.com/wiki/Ritsu_Sohma
Saki Hanajima,https://fruitsbasket.fandom.com/wiki/Saki_Hanajima
Saki's Father,https://fruitsbasket.fandom.com/wiki/Saki%27s_Father
Saki's Grandmother,https://fruitsbasket.fandom.com/wiki/Saki%27s_Grandmother
Saki's Mother,https://fruitsbasket.fandom.com/wiki/Saki%27s_Mother
Satsuki Sohma,https://fruitsbasket.fandom.com/wiki/Satsuki_Sohma
Shigure Sohma,https://fruitsbasket.fandom.com/wiki/Shigure_Sohma
Category:Sohma Family,https://fruitsbasket.fandom.com/wiki/Category:Sohma_Family
Sohma Maid,https://fruitsbasket.fandom.com/wiki/Sohma_Maid
The Chinese Zodiac,https://fruitsbasket.fandom.com/wiki/The_Chinese_Zodiac
Tohru and Kyo's Son,https://fruitsbasket.fandom.com/wiki/Tohru_and_Kyo%27s_Son
Tohru and Kyo’s Daughter-in-law,https://fruitsbasket.fandom.com/wiki/Tohru_and_Kyo%E2%80%99s_Daughter-in-law
Tohru and Kyo’s Granddaughter,https://fruitsbasket.fandom.com/wiki/Tohru_and_Kyo%E2%80%99s_Granddaughter
Tohru Honda,https://fruitsbasket.fandom.com/wiki/Tohru_Honda
Tohru's Aunt,https://fruitsbasket.fandom.com/wiki/Tohru%27s_Aunt
Tohru's Female Cousin,https://fruitsbasket.fandom.com/wiki/Tohru%27s_Female_Cousin
Tohru's Grandfather,https://fruitsbasket.fandom.com/wiki/Tohru%27s_Grandfather
Tohru's Male Cousin,https://fruitsbasket.fandom.com/wiki/Tohru%27s_Male_Cousin
Yuki Sohma,https://fruitsbasket.fandom.com/wiki/Yuki_Sohma
